month,hour,day_of_week,day_of_month,week_of_month,season,weekend,time_of_day,dew_point,DEW_POINT_MAX,DEW_POINT_MIN,LAT_MEAN,LAT_MAX,LAT_MIN,LON_MEAN,LON_MAX,LON_MIN,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
january,4,thursday,2,week1,winter,weekday,night,7.418185403609803,7.423393131443877,7.412977675775728,45.623512000000005,45.623522,45.623502,13.787081,13.787665,13.786497,30.455000000000002,43.52,17.39,281.245,305.17,257.32,42.2,46.7,37.7,56.239999999999995,56.26,56.22,1023.2049999999999,1023.49,1022.92,16.14,16.14,16.14,11.63,11.63,11.63,82.6,81.3,2,81.94999999999999,89.52
january,7,tuesday,7,week1,winter,weekday,morning,11.372178181161717,11.372178181161717,11.372178181161717,45.623465,45.623465,45.623465,13.7875,13.7875,13.7875,36.85,36.85,36.85,78.78,78.78,78.78,43.2,43.2,43.2,69.33,69.33,69.33,1005.58,1005.58,1005.58,17.03,17.03,17.03,12.63,12.63,12.63,11.3,11.3,1,11.3,17.56
january,9,tuesday,7,week1,winter,weekday,morning,11.969317482030672,11.969317482030672,11.969317482030672,45.62348,45.62348,45.62348,13.786583,13.786583,13.786583,25.06,25.06,25.06,120.12,120.12,120.12,54.3,54.3,54.3,62.89,62.89,62.89,1005.35,1005.35,1005.35,19.21,19.21,19.21,15.0,15.0,15.0,8.5,8.5,1,8.5,12.66
january,10,tuesday,7,week1,winter,weekday,morning,10.696664868425035,10.699436400905535,10.693893335944535,45.6234635,45.62348,45.623447,13.787205,13.787823,13.786587,22.175,22.39,21.96,103.015,128.78,77.25,44.45,47.7,41.2,54.230000000000004,54.24,54.22,1004.7,1004.77,1004.63,20.24,20.24,20.24,15.19,15.19,15.19,8.2,6.6,2,7.3999999999999995,16.45
january,12,tuesday,7,week1,winter,weekday,afternoon,10.69897214897011,10.703291095470854,10.694653202469368,45.623549,45.623555,45.623543,13.78711,13.787758,13.786462,27.605,31.43,23.78,102.905,129.34,76.47,52.0,54.9,49.1,58.415000000000006,58.45,58.38,1005.185,1005.22,1005.15,19.045,19.05,19.04,12.19,12.19,12.19,15.1,15.0,2,15.05,31.97
january,13,tuesday,7,week1,winter,weekday,afternoon,10.381971907715943,10.38264610939298,10.381297706038906,45.6234815,45.623568,45.623395,13.787611,13.788162,13.78706,18.029999999999998,32.76,3.3,79.825,84.51,75.14,46.150000000000006,47.7,44.6,68.715,68.74,68.69,1005.4300000000001,1005.5,1005.36,16.134999999999998,16.14,16.13,10.31,10.31,10.31,28.6,27.7,2,28.15,39.51
january,15,tuesday,7,week1,winter,weekday,afternoon,10.317102258200702,10.317102258200702,10.317102258200702,45.623438,45.623438,45.623438,13.786738,13.786738,13.786738,28.8,28.8,28.8,106.46,106.46,106.46,50.2,50.2,50.2,72.08,72.08,72.08,1006.06,1006.06,1006.06,15.32,15.32,15.32,10.06,10.06,10.06,32.3,32.3,1,32.3,44.58
january,4,friday,10,week2,winter,weekday,night,10.771708511994037,10.771708511994037,10.771708511994037,45.623462,45.623462,45.623462,13.787077,13.787077,13.787077,32.48,32.48,32.48,259.85,259.85,259.85,36.8,36.8,36.8,66.37,66.37,66.37,1006.33,1006.33,1006.33,17.09,17.09,17.09,11.25,11.25,11.25,19.7,19.7,1,19.7,20.62
january,5,friday,10,week2,winter,weekday,night,9.242484023299252,9.251415526983136,9.233552519615367,45.623555499999995,45.623638,45.623473,13.7877175,13.788187,13.787248,26.625,30.97,22.28,76.14500000000001,80.03,72.26,33.25,35.8,30.7,84.83500000000001,84.84,84.83,1005.81,1006.13,1005.49,11.71,11.72,11.7,10.25,10.25,10.25,64.1,61.2,2,62.65,17.67
january,7,friday,10,week2,winter,weekday,morning,8.598864795604667,8.598864795604667,8.598864795604667,45.623507,45.623507,45.623507,13.787768,13.787768,13.787768,31.26,31.26,31.26,76.97,76.97,76.97,28.8,28.8,28.8,67.05,67.05,67.05,1008.27,1008.27,1008.27,14.65,14.65,14.65,10.13,10.13,10.13,2.0,2.0,1,2.0,12.66
