month,hour,day_of_week,day_of_month,week_of_month,season,weekend,time_of_day,dew_point,DEW_POINT_MAX,DEW_POINT_MIN,LAT_MEAN,LAT_MAX,LAT_MIN,LON_MEAN,LON_MAX,LON_MIN,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
january,3,thursday,2,week1,winter,weekday,night,7.583267691269581,7.583267691269581,7.583267691269581,45.654375,45.654375,45.654375,13.788395,13.788395,13.788395,37.39,37.39,37.39,74.16,74.16,74.16,17.0,17.0,17.0,56.66,56.66,56.66,1024.29,1024.29,1024.29,16.2,16.2,16.2,11.56,11.56,11.56,87.7,87.7,1,87.7,84.72
january,4,thursday,2,week1,winter,weekday,night,7.416344081643444,7.419710487511163,7.412977675775725,45.6545745,45.654742,45.654407,13.7893575,13.79,13.788715,34.675,34.98,34.37,252.58,255.08,250.08,45.75,46.8,44.7,56.215,56.21999999999999,56.21,1022.415,1022.59,1022.24,16.145,16.15,16.14,11.63,11.63,11.63,77.9,75.7,2,76.80000000000001,44.21
january,5,friday,3,week1,winter,weekday,night,8.426048228041315,8.604134710867214,8.25003713672988,45.6545575,45.654772,45.654285,13.78928025,13.79001,13.788487,26.985,31.04,24.5,162.185,254.01,65.7,28.275,33.3,22.1,73.5975,74.92,72.3,1010.5525,1011.19,1009.91,13.0375,13.49,12.58,10.1575,10.25,10.06,48.3,40.4,4,45.7,30.67
january,5,friday,3,week1,winter,weekday,night,9.562816478043784,9.574224902019592,9.554233939443868,45.65444266666666,45.654632,45.654248,13.788585666666668,13.78962,13.78792,18.775,32.89,0.02,188.3766666666667,257.72,67.51,29.2,33.4,19.5,71.505,71.79,71.0,1010.7833333333332,1011.73,1010.11,14.659999999999998,14.77,14.6,9.283333333333331,9.38,9.19,31.5,27.4,6,29.866666666666664,30.67
january,6,friday,3,week1,winter,weekday,morning,5.626258739641082,5.822390994760616,5.498001506875885,45.6546038,45.654728,45.65445,13.789278200000002,13.790057,13.788597,17.936,24.76,8.56,179.49,258.35,66.82,17.520000000000003,19.1,15.5,59.284000000000006,59.82,58.95,1010.948,1011.4,1010.55,13.41,13.48,13.36,8.778,8.94,8.63,1.4,0.7,5,0.94,18.55
january,6,friday,3,week1,winter,weekday,morning,7.226597998125658,7.230503764544985,7.22215862170416,45.65446599999999,45.654627,45.654383,13.788746666666668,13.789262,13.788465,8.166666666666666,21.5,0.17,241.92,243.97,237.82,38.36666666666667,40.5,36.8,67.90666666666665,67.96,67.85,1010.7433333333332,1010.95,1010.51,13.016666666666666,13.03,13.0,7.1000000000000005,7.12,7.06,3.3,2.9,3,3.1666666666666665,18.55
january,7,friday,3,week1,winter,weekday,morning,4.4515683645278,4.456772831434201,4.4463638976213975,45.654329,45.654438,45.65422,13.788268,13.788618,13.787918,27.085,27.09,27.08,70.775,71.84,69.71,28.6,30.8,26.4,54.95,54.97,54.93,1012.11,1012.2,1012.02,13.32,13.32,13.32,9.25,9.25,9.25,0.7,0.6,2,0.6499999999999999,10.41
january,7,friday,3,week1,winter,weekday,morning,5.693206775909983,6.009819318621505,5.5158460455358,45.65446583333334,45.65471,45.65422,13.788812,13.789682,13.787762,19.87666666666667,32.13,0.13,189.4333333333333,260.65,64.63,44.0,65.9,19.5,64.38333333333334,65.98,63.47,1011.92,1012.79,1011.32,12.221666666666666,12.25,12.18,7.333333333333333,7.56,7.0,3.1,2.4,6,2.8000000000000003,10.41
january,8,friday,3,week1,winter,weekday,morning,4.399067864040728,4.433343298835353,4.351262382087817,45.654408,45.654662,45.654232,13.78893825,13.789762,13.788352,17.845,26.35,0.13,208.7675,288.89,67.13,37.4,44.8,31.7,54.0075,54.88,53.58,1011.5125,1011.83,1011.24,13.53,13.6,13.32,9.25,9.25,9.25,0.8,0.6,4,0.7,6.35
january,9,friday,3,week1,winter,weekday,morning,2.9549808283130017,2.971981455849614,2.945943526757933,45.65439571428571,45.654598,45.654255,13.788487428571427,13.789203,13.788067,13.324285714285717,25.52,0.0,169.9385714285714,254.81,53.02,48.6,57.0,38.5,45.65714285714286,46.64,44.88,1012.9157142857142,1013.51,1012.35,14.555714285714286,14.81,14.22,10.695714285714288,11.0,10.31,2.1,0.9,7,1.6714285714285713,4.62
january,9,friday,3,week1,winter,weekday,morning,5.083465858136661,5.525549787123786,4.8045013139758765,45.654430375,45.65475,45.654207,13.7885855,13.789662,13.78778,13.805,24.06,0.07,182.64125,254.94,68.56,46.6125,51.8,36.8,57.12,59.76,55.52,1013.25625,1013.72,1012.75,13.41125,13.56,13.17,9.1175,9.38,8.75,5.0,2.8,8,4.05,4.62
january,10,friday,3,week1,winter,weekday,morning,4.114317051468685,4.170002204225626,4.036083618176084,45.6544222,45.65465,45.654257,13.7884646,13.789222,13.787887,19.994,28.58,0.0,142.476,252.07,72.98,31.18,32.3,29.2,49.9,50.23,49.44,1013.434,1014.02,1012.67,14.442000000000002,14.5,14.4,9.726,9.81,9.63,3.8,2.7,5,3.24,6.39
january,11,friday,3,week1,winter,weekday,morning,1.89389918547412,1.9402272831468697,1.827918328699168,45.6544928,45.654768,45.65433,13.7887938,13.789937,13.7878,9.984,18.63,0.19,253.57200000000003,264.35,243.35,35.78,36.8,34.2,38.682,38.81,38.5,1012.408,1012.65,1012.14,15.960000000000004,15.96,15.96,11.488,11.5,11.44,0.9,0.7,5,0.82,4.93
january,12,friday,3,week1,winter,weekday,afternoon,0.6865549211230074,0.8256672189811363,0.5410739916271893,45.6544855,45.654588,45.654368,13.7890375,13.7895,13.788563,20.9825,25.65,17.59,161.9975,254.61,69.28,42.6,47.9,38.0,34.9575,35.42,34.48,1012.9025,1013.36,1012.43,16.189999999999998,16.24,16.14,11.6425,11.88,11.44,1.1,0.8,4,1.0,5.1
january,12,friday,3,week1,winter,weekday,afternoon,3.3386265873244043,3.571473597981853,3.069063797581993,45.65453457142858,45.654768,45.654375,13.788907142857145,13.790018,13.788192,12.572857142857142,29.91,0.02,149.47857142857143,256.2,70.55,45.285714285714285,51.7,41.1,45.22428571428571,45.83,44.49,1013.5242857142856,1014.08,1012.9,15.122857142857145,15.17,15.08,9.94,10.0,9.88,4.0,2.0,7,2.628571428571429,5.1
january,14,friday,3,week1,winter,weekday,afternoon,-0.396244720072712,-0.3594774452386393,-0.4594164995448083,45.654349875,45.654663,45.654158,13.788709,13.790102,13.787923,12.44375,22.06,0.02,184.425,269.77,70.35,33.3625,38.8,25.7,34.2975,34.54,34.01,1013.38625,1013.91,1012.9,15.26125,15.43,15.15,10.07875,10.31,9.94,1.8,0.7,8,1.225,2.95
january,15,friday,3,week1,winter,weekday,afternoon,-1.0280540626986368,-0.9212120122889744,-1.2005345690915308,45.654497125,45.654778,45.654305,13.78858575,13.789832,13.788132,9.96,23.87,0.0,178.6,258.94,57.47,21.2125,34.1,10.5,35.91375,36.44,35.06,1014.13,1014.57,1013.67,13.83625,14.02,13.72,8.635,8.94,8.44,3.5,1.2,8,2.025,5.16
january,16,friday,3,week1,winter,weekday,afternoon,0.6804907579473355,0.9431640973004574,0.4320517455719107,45.654400333333335,45.65465,45.654207,13.788643833333332,13.78997,13.787793,11.326666666666668,21.93,3.26,163.54166666666666,266.83,70.19,42.85,62.7,24.6,45.626666666666665,45.66,45.57,1015.495,1015.66,1015.36,12.07,12.35,11.79,8.113333333333333,8.38,7.87,4.8,1.8,6,2.9,4.14
january,17,friday,3,week1,winter,weekday,afternoon,-1.3200097394255146,-1.2734169161755902,-1.3594885716885974,45.654278125,45.654655,45.654065,13.78869775,13.790135,13.787977,15.595,28.21,0.06,168.8475,261.96,74.83,24.7625,28.6,22.1,38.47125,38.71,38.24,1015.23375,1015.74,1014.65,12.4525,12.5,12.4,7.73125,7.94,7.56,5.9,2.1,8,3.625,5.34
january,17,friday,3,week1,winter,weekday,afternoon,-0.2166269907647006,-0.0121082752372926,-0.2928902606446102,45.65434075,45.6546,45.654183,13.78868875,13.789422,13.788258,11.345,24.08,0.13,209.785,259.23,76.71,16.6,24.8,-1.6,45.7625,45.85,45.57,1016.2325,1016.52,1015.98,11.0425,11.33,10.94,7.1425,7.69,6.94,3.6,2.9,4,3.1,5.34
january,18,friday,3,week1,winter,weekday,evening,-1.6703292778185108,-1.5554890542524418,-1.759909638581818,45.6544696,45.654783,45.654273,13.7886064,13.789792,13.787918,15.154,32.04,0.11,175.756,259.31,60.26,33.46,35.5,30.0,39.098,39.47,38.83,1016.432,1016.91,1015.95,11.816,11.83,11.8,7.248,7.37,7.12,5.8,2.9,5,4.08,5.79
january,18,friday,3,week1,winter,weekday,evening,-0.5626235480714977,-0.3330016298049639,-0.7934294047252967,45.65445733333333,45.654697,45.654337,13.7886005,13.789387,13.78806,11.963333333333331,24.52,0.07,155.57000000000002,249.19,54.66,39.3,50.5,26.9,45.41166666666667,45.93,44.86,1017.3083333333334,1017.55,1016.97,10.78,10.86,10.69,6.97,7.25,6.69,3.4,2.4,6,2.8166666666666664,5.79
january,19,friday,3,week1,winter,weekday,evening,-2.2593231598684373,-2.2593231598684373,-2.2593231598684373,45.654358,45.654358,45.654358,13.788153,13.788153,13.788153,0.07,0.07,0.07,65.45,65.45,65.45,17.1,17.1,17.1,38.53,38.53,38.53,1018.07,1018.07,1018.07,11.38,11.38,11.38,7.19,7.19,7.19,3.7,3.7,1,3.7,4.08
january,19,friday,3,week1,winter,weekday,evening,-1.0702354431985446,-1.0060300039736316,-1.1069614905871674,45.6544276,45.654718,45.65418,13.788678999999998,13.789433,13.787967,17.912,30.13,0.02,144.498,254.5,61.21,22.36,29.7,18.7,44.73,45.03,44.55,1017.888,1018.31,1017.2,10.45,10.47,10.42,6.634,6.81,6.37,3.4,1.9,5,2.8,4.08
january,20,friday,3,week1,winter,weekday,evening,-2.1243366366188776,-1.928381887309517,-2.2503666285223303,45.6545052,45.654665,45.654368,13.7888766,13.789623,13.788143,20.574,27.45,0.06,141.91400000000002,257.1,64.2,17.2,18.9,13.6,38.83,39.3,38.53,1017.328,1017.98,1016.4,11.414,11.45,11.39,7.048,7.12,6.94,5.3,2.5,5,3.86,5.79
january,16,saturday,4,week1,winter,weekend,afternoon,-1.8514881897741973,-1.5997481652655257,-2.167436575962583,45.65443728571428,45.654638,45.654192,13.788748142857145,13.78975,13.78797,15.157142857142857,27.3,0.04,179.93142857142857,264.64,68.34,24.87142857142857,46.7,7.1,35.097142857142856,35.61,34.42,1019.1128571428573,1019.81,1018.41,13.26,13.32,13.19,8.545714285714286,8.94,8.25,6.7,5.9,7,6.385714285714286,5.19
january,17,saturday,4,week1,winter,weekend,afternoon,-2.200305390663924,-2.1107173583672587,-2.3093713455299563,45.65429157142857,45.654657,45.654072,13.788677857142858,13.78983,13.787973,15.228571428571428,27.02,0.02,180.21,259.23,75.07,0.4285714285714285,8.0,-9.2,34.465714285714284,34.71,34.15,1019.67,1020.34,1018.92,13.142857142857142,13.16,13.12,8.107142857142858,8.5,7.81,8.2,6.8,7,7.399999999999999,4.4
january,18,saturday,4,week1,winter,weekend,evening,-2.2079930703405277,-1.7741241576646245,-2.473919976125235,45.654478875,45.654672,45.654298,13.788877875,13.789802,13.788123,12.55875,24.63,0.02,123.45125,251.41,20.48,38.7875,42.4,35.7,35.28875,36.5,34.54,1019.1875,1019.72,1018.34,12.7775,12.8,12.73,7.77875,8.06,7.37,17.4,7.6,8,10.55,3.22
january,19,saturday,4,week1,winter,weekend,evening,-1.9154637939126573,-1.8102508773561308,-2.027278310041989,45.654350666666666,45.65454,45.654248,13.788561833333333,13.789193,13.7883,10.681666666666668,23.78,0.06,155.88333333333333,264.7,52.4,36.88333333333333,50.6,23.4,36.995,37.08,36.93,1019.52,1020.18,1018.76,12.381666666666666,12.51,12.25,7.375,7.75,7.0,10.2,9.0,6,9.716666666666669,3.97
january,4,sunday,5,week1,winter,weekend,night,1.021796947110544,1.021796947110544,1.021796947110544,45.654335,45.654335,45.654335,13.788703,13.788703,13.788703,39.58,39.58,39.58,73.05,73.05,73.05,17.9,17.9,17.9,41.68,41.68,41.68,1016.95,1016.95,1016.95,13.83,13.83,13.83,10.19,10.19,10.19,4.6,4.6,1,4.6,6.14
january,5,sunday,5,week1,winter,weekend,night,1.4036603677385553,1.4036603677385553,1.4036603677385553,45.654518,45.654518,45.654518,13.788932,13.788932,13.788932,29.72,29.72,29.72,250.87,250.87,250.87,28.5,28.5,28.5,42.95,42.95,42.95,1015.59,1015.59,1015.59,13.79,13.79,13.79,9.0,9.0,9.0,4.1,4.1,1,4.1,7.73
january,6,sunday,5,week1,winter,weekend,morning,1.5310258004984816,1.698474041861465,1.2145361688101477,45.65459366666667,45.654752,45.654487,13.789387666666668,13.789948,13.788788,28.613333333333333,30.34,26.41,195.24666666666667,256.48,79.54,18.633333333333333,21.2,16.8,44.76,45.14,44.03,1016.1633333333334,1017.07,1015.58,13.296666666666669,13.35,13.2,9.02,9.06,8.94,5.8,4.1,3,4.766666666666667,6.59
