month,hour,day_of_week,day_of_month,week_of_month,season,weekend,time_of_day,dew_point,DEW_POINT_MAX,DEW_POINT_MIN,LAT_MEAN,LAT_MAX,LAT_MIN,LON_MEAN,LON_MAX,LON_MIN,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
january,13,tuesday,7,week1,winter,weekday,afternoon,8.239783723244244,8.239783723244244,8.239783723244244,45.647905,45.647905,45.647905,13.854158,13.854158,13.854158,54.21,54.21,54.21,113.07,113.07,113.07,365.1,365.1,365.1,65.99,65.99,65.99,967.12,967.12,967.12,14.52,14.52,14.52,8.25,8.25,8.25,1.6,1.6,1,1.6,5.61
january,14,tuesday,7,week1,winter,weekday,afternoon,8.091479738103665,8.091479738103665,8.091479738103665,45.647742,45.647742,45.647742,13.854923,13.854923,13.854923,60.28,60.28,60.28,295.0,295.0,295.0,368.5,368.5,368.5,65.88,65.88,65.88,966.49,966.49,966.49,14.39,14.39,14.39,8.13,8.13,8.13,0.6,0.6,1,0.6,7.63
january,15,tuesday,7,week1,winter,weekday,afternoon,7.351165136533082,7.351165136533082,7.351165136533082,45.64731,45.64731,45.64731,13.856268,13.856268,13.856268,53.65,53.65,53.65,114.1,114.1,114.1,364.7,364.7,364.7,65.59,65.59,65.59,967.62,967.62,967.62,13.68,13.68,13.68,7.69,7.69,7.69,0.5,0.5,1,0.5,9.53
january,17,tuesday,7,week1,winter,weekday,afternoon,7.788224968842697,7.788224968842697,7.788224968842697,45.647477,45.647477,45.647477,13.855603,13.855603,13.855603,45.87,45.87,45.87,113.03,113.03,113.03,354.0,354.0,354.0,64.87,64.87,64.87,968.51,968.51,968.51,14.31,14.31,14.31,8.19,8.19,8.19,0.6,0.6,1,0.6,14.61
january,7,wednesday,29,week4,winter,weekday,morning,5.866060761609567,5.866060761609567,5.866060761609567,45.6477,45.647703,45.647697,13.8549335,13.854937,13.85493,64.17,64.17,64.17,293.87,293.87,293.87,381.3,381.3,381.3,47.2,47.2,47.2,970.44,970.44,970.44,17.22,17.22,17.22,10.75,10.75,10.75,7.1,7.1,2,7.1,5.08
february,8,tuesday,11,week2,winter,weekday,morning,3.02927808194269,3.02927808194269,3.02927808194269,45.647488,45.647488,45.647488,13.855577,13.855577,13.855577,57.75,57.75,57.75,113.58,113.58,113.58,376.7,376.7,376.7,51.47,51.47,51.47,982.94,982.94,982.94,12.79,12.79,12.79,8.0,8.0,8.0,35.4,35.4,1,35.4,30.29
february,16,tuesday,11,week2,winter,weekday,afternoon,4.816307083995799,4.816307083995799,4.816307083995799,45.647808,45.647808,45.647808,13.854522,13.854522,13.854522,51.1,51.1,51.1,113.07,113.07,113.07,379.1,379.1,379.1,36.49,36.49,36.49,980.58,980.58,980.58,20.17,20.17,20.17,13.31,13.31,13.31,34.1,34.1,1,34.1,31.99
february,17,wednesday,12,week2,winter,weekday,afternoon,9.176629055581747,9.176629055581747,9.176629055581747,45.647287,45.647287,45.647287,13.85616,13.85616,13.85616,49.24,49.24,49.24,114.17,114.17,114.17,365.0,365.0,365.0,51.06,51.06,51.06,978.71,978.71,978.71,19.57,19.57,19.57,9.31,9.31,9.31,6.1,6.1,1,6.1,6.85
february,20,wednesday,12,week2,winter,weekday,evening,10.294380152578366,10.294380152578366,10.294380152578366,45.647448,45.647448,45.647448,13.856067,13.856067,13.856067,49.93,49.93,49.93,292.88,292.88,292.88,395.6,395.6,395.6,38.07,38.07,38.07,977.91,977.91,977.91,25.64,25.64,25.64,15.44,15.44,15.44,6.5,6.5,1,6.5,4.49
february,20,wednesday,12,week2,winter,weekday,evening,8.482581594573745,8.482581594573745,8.482581594573745,45.647325,45.647325,45.647325,13.856085,13.856085,13.856085,52.34,52.34,52.34,293.76,293.76,293.76,392.2,392.2,392.2,34.29,34.29,34.29,977.89,977.89,977.89,25.35,25.35,25.35,11.88,11.88,11.88,6.1,6.1,1,6.1,4.49
