season,weekend,time_of_day,dew_point,DEW_POINT_MAX,DEW_POINT_MIN,LAT_MEAN,LAT_MAX,LAT_MIN,LON_MEAN,LON_MAX,LON_MIN,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
winter,weekend,evening,1.64561584648941,1.6546624973176551,1.6365691956611645,45.6235325,45.623555,45.62351,13.7872865,13.787965,13.786608,27.27,35.54,19.0,99.62,123.07,76.17,31.05,35.1,27.0,46.905,46.92,46.89,1014.7049999999999,1014.79,1014.62,12.705,12.71,12.7,6.470000000000001,6.5,6.44,21.9,21.3,2,21.6,19.43
winter,weekend,evening,2.004076739726398,2.004076739726398,2.004076739726398,45.623508,45.623508,45.623508,13.78678,13.78678,13.78678,24.15,24.15,24.15,99.52,99.52,99.52,23.0,23.0,23.0,46.62,46.62,46.62,1013.94,1013.94,1013.94,13.19,13.19,13.19,7.06,7.06,7.06,22.0,22.0,1,22.0,27.9
winter,weekday,night,-6.5561047678302735,-6.5561047678302735,-6.5561047678302735,45.623462,45.623462,45.623462,13.787452,13.787452,13.787452,37.6,37.6,37.6,79.56,79.56,79.56,34.1,34.1,34.1,34.96,34.96,34.96,1027.33,1027.33,1027.33,8.01,8.01,8.01,3.0,3.0,3.0,8.8,8.8,1,8.8,4.88
winter,weekday,morning,-6.422513365036013,-6.422513365036013,-6.422513365036013,45.623398,45.623398,45.623398,13.786907,13.786907,13.786907,31.6,31.6,31.6,90.02,90.02,90.02,37.1,37.1,37.1,29.91,29.91,29.91,1027.37,1027.37,1027.37,10.48,10.48,10.48,3.75,3.75,3.75,9.9,9.9,1,9.9,6.05
winter,weekday,morning,-5.941755550244238,-5.926092367231342,-5.957418733257134,45.623509999999996,45.623535,45.623485,13.7871355,13.787848,13.786423,32.475,39.28,25.67,105.10499999999999,134.29,75.92,57.7,61.0,54.4,29.325,29.36,29.29,1027.395,1027.59,1027.2,11.33,11.33,11.33,6.0,6.0,6.0,15.8,15.1,2,15.45,10.19
winter,weekday,morning,-4.229112014218757,-4.229112014218757,-4.229112014218757,45.623493,45.623493,45.623493,13.787668,13.787668,13.787668,37.41,37.41,37.41,79.46,79.46,79.46,38.6,38.6,38.6,27.01,27.01,27.01,1027.38,1027.38,1027.38,14.57,14.57,14.57,9.13,9.13,9.13,12.9,12.9,1,12.9,24.23
winter,weekday,morning,-1.8148020047192832,-1.8148020047192832,-1.8148020047192832,45.6235,45.6235,45.6235,13.787808,13.787808,13.787808,27.5,27.5,27.5,78.82,78.82,78.82,48.9,48.9,48.9,29.15,29.15,29.15,1026.51,1026.51,1026.51,16.18,16.18,16.18,10.38,10.38,10.38,10.4,10.4,1,10.4,21.17
winter,weekday,afternoon,-1.8933100073183462,-1.8933100073183462,-1.8933100073183462,45.623403,45.623403,45.623403,13.786908,13.786908,13.786908,27.34,27.34,27.34,95.37,95.37,95.37,50.6,50.6,50.6,29.58,29.58,29.58,1025.3,1025.3,1025.3,15.86,15.86,15.86,10.25,10.25,10.25,16.0,16.0,1,16.0,15.01
winter,weekday,afternoon,-0.4917476428910384,-0.4917476428910384,-0.4917476428910384,45.623447,45.623447,45.623447,13.786847,13.786847,13.786847,26.52,26.52,26.52,96.94,96.94,96.94,45.1,45.1,45.1,33.03,33.03,33.03,1024.2,1024.2,1024.2,15.74,15.74,15.74,10.31,10.31,10.31,30.5,30.5,1,30.5,13.79
winter,weekday,afternoon,-0.5587818650184956,-0.5573088299284114,-0.5602549001085798,45.6235205,45.623528,45.623513,13.7871425,13.787767,13.786518,29.4,35.11,23.69,104.31,129.9,78.72,39.85,40.2,39.5,34.925,34.94,34.91,1024.205,1024.27,1024.14,14.795,14.8,14.79,8.41,8.44,8.38,29.0,23.9,2,26.45,17.65
