season,weekend,time_of_day,dew_point,DEW_POINT_MAX,DEW_POINT_MIN,LAT_MEAN,LAT_MAX,LAT_MIN,LON_MEAN,LON_MAX,LON_MIN,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
winter,weekday,night,0.5416464945627277,0.5416464945627277,0.5416464945627277,45.647743,45.647743,45.647743,13.854663,13.854663,13.854663,52.47,52.47,52.47,113.88,113.88,113.88,366.4,366.4,366.4,63.32,63.32,63.32,964.35,964.35,964.35,7.04,7.04,7.04,2.75,2.75,2.75,9.9,9.9,1,9.9,4.8
winter,weekday,morning,-0.23173374563348942,-0.23173374563348942,-0.23173374563348942,45.647748,45.647748,45.647748,13.854832,13.854832,13.854832,65.32,65.32,65.32,292.49,292.49,292.49,353.8,353.8,353.8,49.23,49.23,49.23,965.15,965.15,965.15,9.93,9.93,9.93,3.62,3.62,3.62,3.5,3.5,1,3.5,2.47
winter,weekday,afternoon,-2.5947504114849553,-2.5947504114849553,-2.5947504114849553,45.64782,45.64782,45.64782,13.85442,13.85442,13.85442,50.97,50.97,50.97,293.49,293.49,293.49,365.1,365.1,365.1,45.7,45.7,45.7,969.59,969.59,969.59,8.46,8.46,8.46,3.12,3.12,3.12,2.9,2.9,1,2.9,2.96
winter,weekday,evening,-2.4606246060723156,-2.4606246060723156,-2.4606246060723156,45.647707,45.647707,45.647707,13.855188,13.855188,13.855188,53.54,53.54,53.54,294.27,294.27,294.27,349.2,349.2,349.2,42.57,42.57,42.57,971.28,971.28,971.28,9.66,9.66,9.66,3.12,3.12,3.12,3.2,3.2,1,3.2,2.11
winter,weekday,evening,-2.871366574771995,-2.871366574771995,-2.871366574771995,45.647745,45.647745,45.647745,13.854795,13.854795,13.854795,57.97,57.97,57.97,114.41,114.41,114.41,371.3,371.3,371.3,44.17,44.17,44.17,972.16,972.16,972.16,8.66,8.66,8.66,2.94,2.94,2.94,7.4,7.4,1,7.4,2.23
winter,weekday,evening,-2.807884966596838,-2.807884966596838,-2.807884966596838,45.647772,45.647772,45.647772,13.85471,13.85471,13.85471,63.69,63.69,63.69,293.26,293.26,293.26,354.4,354.4,354.4,41.88,41.88,41.88,971.65,971.65,971.65,9.52,9.52,9.52,3.56,3.56,3.56,4.1,4.1,1,4.1,5.99
winter,weekday,evening,-3.381342266913784,-3.381342266913784,-3.381342266913784,45.647907,45.647907,45.647907,13.854407,13.854407,13.854407,62.45,62.45,62.45,292.7,292.7,292.7,365.5,365.5,365.5,41.42,41.42,41.42,971.98,971.98,971.98,9.05,9.05,9.05,2.87,2.87,2.87,3.2,3.2,1,3.2,8.0
winter,weekend,afternoon,-1.9268708818629923,-1.9268708818629923,-1.9268708818629923,45.647723,45.647723,45.647723,13.854745,13.854745,13.854745,64.76,64.76,64.76,113.59,113.59,113.59,357.9,357.9,357.9,51.99,51.99,51.99,976.72,976.72,976.72,7.29,7.29,7.29,0.5,0.5,0.5,8.1,8.1,1,8.1,9.72
winter,weekday,morning,9.735276343574425,9.735276343574425,9.735276343574425,45.647693,45.647693,45.647693,13.855032,13.855032,13.855032,64.58,64.58,64.58,293.69,293.69,293.69,368.0,368.0,368.0,73.99,73.99,73.99,959.18,959.18,959.18,14.31,14.31,14.31,9.5,9.5,9.5,17.3,17.3,1,17.3,15.09
winter,weekday,morning,4.931966901897695,4.931966901897695,4.931966901897695,45.647435,45.647435,45.647435,13.855692,13.855692,13.855692,64.8,64.8,64.8,114.56,114.56,114.56,372.9,372.9,372.9,59.64,59.64,59.64,961.53,961.53,961.53,12.58,12.58,12.58,3.81,3.81,3.81,6.1,6.1,1,6.1,10.56
winter,weekday,morning,3.803719115012172,3.803719115012172,3.803719115012172,45.647223,45.647223,45.647223,13.856268,13.856268,13.856268,65.8,65.8,65.8,293.94,293.94,293.94,366.6,366.6,366.6,65.82,65.82,65.82,960.66,960.66,960.66,9.9,9.9,9.9,3.12,3.12,3.12,0.4,0.4,1,0.4,7.47
winter,weekday,afternoon,0.9593494238064963,0.9593494238064963,0.9593494238064963,45.64764,45.64764,45.64764,13.855115,13.855115,13.855115,64.15,64.15,64.15,112.57,112.57,112.57,377.7,377.7,377.7,78.34,78.34,78.34,967.89,967.89,967.89,4.4,4.4,4.4,0.94,0.94,0.94,5.8,5.8,1,5.8,3.06
