season,weekend,time_of_day,dew_point,DEW_POINT_MAX,DEW_POINT_MIN,LAT_MEAN,LAT_MAX,LAT_MIN,LON_MEAN,LON_MAX,LON_MIN,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
winter,weekday,morning,-1.8656079136729786,-1.8656079136729786,-1.8656079136729786,45.654071667,45.654071667,45.654071667,13.789775,13.789775,13.789775,30.58,30.58,30.58,251.18,251.18,251.18,204.3,204.3,204.3,32.18,32.18,32.18,999.28,999.28,999.28,14.58,14.58,14.58,7.62,7.62,7.62,15.6,15.6,1,15.6,6.81
winter,weekday,morning,-7.912846689544675,-7.912846689544675,-7.912846689544675,45.65372,45.65372,45.65372,13.789421667,13.789421667,13.789421667,12.59,12.59,12.59,60.67,60.67,60.67,98.7,98.7,98.7,23.41,23.41,23.41,1031.67,1031.67,1031.67,12.45,12.45,12.45,6.87,6.87,6.87,9.8,9.8,1,9.8,16.16
winter,weekday,afternoon,5.048262679894029,5.048262679894029,5.048262679894029,45.654568333,45.654568333,45.654568333,13.78833,13.78833,13.78833,14.15,14.15,14.15,270.28,270.28,270.28,141.2,141.2,141.2,42.43,42.43,42.43,995.9,995.9,995.9,18.01,18.01,18.01,9.44,9.44,9.44,14.3,14.3,1,14.3,56.48
winter,weekday,morning,-1.4951148993306045,-1.4795194943756174,-1.5047264003296237,45.654419444666665,45.654685,45.654236667,13.788603888666666,13.789993333,13.78781,11.576666666666666,25.47,2.72,66.23333333333333,85.58,39.39,29.2,32.5,27.0,46.379999999999995,46.42,46.35,1009.6733333333333,1009.81,1009.52,9.443333333333333,9.47,9.42,6.02,6.06,6.0,14.1,8.4,3,11.833333333333334,10.35
winter,weekday,morning,-1.7730627955851974,-1.7730627955851974,-1.7730627955851974,45.654721667,45.654721667,45.654721667,13.78985,13.78985,13.78985,10.48,10.48,10.48,256.3,256.3,256.3,31.5,31.5,31.5,42.68,42.68,42.68,1008.77,1008.77,1008.77,10.38,10.38,10.38,4.94,4.94,4.94,12.6,12.6,1,12.6,21.4
winter,weekend,afternoon,8.568815893429488,8.568815893429488,8.568815893429488,45.653686667,45.653686667,45.653686667,13.78876,13.78876,13.78876,23.59,23.59,23.59,7.19,7.19,7.19,49.8,49.8,49.8,51.9,51.9,51.9,1018.87,1018.87,1018.87,18.65,18.65,18.65,12.88,12.88,12.88,20.1,20.1,1,20.1,35.57
winter,weekday,morning,-0.13828938477589425,0.36676042330931236,-0.6433391928611009,45.654295833,45.654298333,45.654293333,13.7880066665,13.788048333,13.787965,19.985,21.91,18.06,160.535,248.06,73.01,44.1,50.0,38.2,31.240000000000002,31.44,31.04,1030.325,1031.02,1029.63,17.02,17.7,16.34,11.715,12.37,11.06,15.2,14.1,2,14.649999999999999,40.43
winter,weekday,afternoon,0.915439910832015,0.915439910832015,0.915439910832015,45.654391667,45.654391667,45.654391667,13.788131667,13.788131667,13.788131667,13.28,13.28,13.28,195.18,195.18,195.18,65.9,65.9,65.9,29.84,29.84,29.84,1029.96,1029.96,1029.96,18.96,18.96,18.96,13.06,13.06,13.06,17.7,17.7,1,17.7,40.69
winter,weekday,morning,7.942958906606582,8.070250993859501,7.839766132331286,45.654475000000005,45.654595,45.654245,13.788707333400001,13.789305,13.78824,11.154,20.91,1.37,167.52,233.34,77.62,19.48,30.2,13.4,50.718,50.84,50.65,1021.5559999999999,1022.22,1020.7,18.339999999999996,18.49,18.24,12.028,12.13,11.94,20.7,18.8,5,19.759999999999998,31.71
winter,weekday,afternoon,7.988695148188176,8.001338457106163,7.96684751220581,45.654498333,45.654498333,45.654498333,13.788171667,13.788171667,13.788171667,14.37,14.37,14.37,82.47,82.47,82.47,38.7,38.7,38.7,51.196000000000005,51.24,51.12,1021.2539999999999,1021.65,1020.61,18.24,18.24,18.24,12.064,12.13,11.94,27.1,22.0,5,25.419999999999998,27.17
winter,weekday,morning,5.7489010097796,5.795850351606995,5.7113034986362985,45.65508,45.65508,45.65508,13.788278333,13.788278333,13.788278333,6.35,6.35,6.35,208.49,208.49,208.49,117.0,117.0,117.0,61.538,61.73,61.41,1004.6,1006.38,1003.1,12.968,12.97,12.96,7.0840000000000005,7.12,7.06,41.8,32.0,5,37.32,11.2
winter,weekday,afternoon,7.926759904729985,7.926759904729985,7.926759904729985,45.65455,45.65455,45.65455,13.789363333,13.789363333,13.789363333,11.85,11.85,11.85,30.44,30.44,30.44,27.3,27.3,27.3,46.34,46.34,46.34,1003.76,1003.76,1003.76,19.77,19.77,19.77,14.5,14.5,14.5,18.8,18.8,1,18.8,19.65
spring,weekday,night,-5.181467532417876,-3.0796433324069508,-6.255191782635604,45.654387222,45.654703333,45.654183333,13.788777777666667,13.789641667,13.788263333,37.82666666666666,43.97,32.3,191.70333333333335,254.21,72.23,37.56666666666667,42.7,33.4,21.930000000000003,22.0,21.87,1019.8666666666667,1021.33,1018.87,16.703333333333333,19.16,15.43,3.9166666666666665,6.81,2.44,7.8,7.0,3,7.533333333333334,13.78
spring,weekday,night,-8.30728863483447,-8.008656957341714,-8.61007023189736,45.6544925,45.654743333,45.654306667,13.78903041675,13.789976667,13.78837,27.1875,40.52,0.19,158.1825,244.94,71.77,18.95,22.8,14.1,26.145,27.1,25.2,1020.315,1021.5,1019.04,10.33,11.22,9.43,2.2,3.37,1.12,9.3,7.8,4,8.425,14.7
spring,weekday,night,-3.924983600189052,-3.924983600189052,-3.924983600189052,45.654548333,45.654548333,45.654548333,13.788806667,13.788806667,13.788806667,135.47,135.47,135.47,140.14,140.14,140.14,53.3,53.3,53.3,42.7,42.7,42.7,1019.99,1019.99,1019.99,8.0,8.0,8.0,3.87,3.87,3.87,20.5,20.5,1,20.5,28.96
spring,weekday,morning,1.141279228920917,1.141279228920917,1.141279228920917,45.654251667,45.654251667,45.654251667,13.789796667,13.789796667,13.789796667,39.97,39.97,39.97,137.62,137.62,137.62,-5.5,-5.5,-5.5,44.9,44.9,44.9,1022.85,1022.85,1022.85,12.82,12.82,12.82,7.37,7.37,7.37,12.5,12.5,1,12.5,27.88
spring,weekday,morning,3.1153225391049197,3.1153225391049197,3.1153225391049197,45.655171667,45.655171667,45.655171667,13.788885,13.788885,13.788885,11.33,11.33,11.33,241.13,241.13,241.13,1197.8,1197.8,1197.8,41.76,41.76,41.76,1030.78,1030.78,1030.78,16.12,16.12,16.12,10.38,10.38,10.38,18.6,18.6,1,18.6,54.77
spring,weekday,morning,7.770209617732484,7.873564703658534,7.710851168794586,45.6545,45.654583333,45.65443,13.78905333325,13.790185,13.78833,9.85,23.0,0.59,165.2375,261.93,71.82,44.675,55.3,38.8,43.175,43.24,43.14,1025.395,1026.07,1023.96,20.7425,20.87,20.69,13.58,13.88,13.44,26.9,22.2,4,24.549999999999997,45.6
spring,weekday,afternoon,8.24134076621447,8.242893462121808,8.238932573253312,45.654520555666664,45.654658333,45.654441667,13.788910555666668,13.789576667,13.788491667,14.043333333333331,18.89,8.87,255.34333333333333,264.22,248.49,18.599999999999998,21.3,15.1,45.17666666666667,45.2,45.16,1023.5300000000001,1023.77,1023.25,20.526666666666667,20.53,20.52,13.75,13.81,13.69,58.3,57.4,3,57.800000000000004,74.5
spring,weekday,morning,-6.194911536333073,-5.973454408677289,-6.359965852611831,45.654307333400006,45.654438333,45.654086667,13.788454000000002,13.789063333,13.78778,17.582,31.3,4.59,239.28400000000002,359.4,101.8,14.819999999999999,47.6,-5.3,10.314,10.47,10.11,1031.466,1032.73,1030.29,27.830000000000002,28.46,27.42,20.374000000000002,21.31,19.25,13.7,12.1,5,12.7,5.28
spring,weekday,afternoon,-7.48144831042905,-7.370820963153039,-7.572242503339158,45.654210833600004,45.654586667,45.653908333,13.788480000000002,13.789161667,13.788135,7.118,22.32,1.98,188.924,247.95,8.43,33.46,57.2,14.5,10.700999999999999,10.84,10.61,1031.031,1031.83,1029.78,25.525,25.78,25.19,19.656,20.88,18.87,12.9,10.6,10,11.82,7.21
